,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,COMMIS,SALES_PRICE
0,P03210,Karapakkam,1004,131,1.0,1.0,3,AbNormal,Yes,Commercial,AllPub,Paved,A,4.0,3.9,4.9,4.33,144400,7600000
1,P09411,Anna Nagar,1986,26,2.0,1.0,5,AbNormal,No,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,304049,21717770
2,P01812,Adyar,909,70,1.0,1.0,3,AbNormal,Yes,Commercial,ELO,Gravel,RL,4.1,3.8,2.2,3.09,92114,13159200
3,P05346,Velachery,1855,14,3.0,2.0,5,Family,No,Others,NoSewr ,Paved,I,4.7,3.9,3.6,4.01,77042,9630290
4,P06210,Karapakkam,1226,84,1.0,1.0,3,AbNormal,Yes,Others,AllPub,Gravel,C,3.0,2.5,4.1,3.29,74063,7406250
5,P00219,Chrompet,1220,36,2.0,1.0,4,Partial,No,Commercial,NoSeWa,No Access,RH,4.5,2.6,3.1,3.32,198316,12394750
6,P09105,Chrompet,1167,137,1.0,1.0,3,Partial,No,Others,AllPub,No Access,RL,3.6,2.1,2.5,2.67,33955,8488790
7,P09679,Velachery,1847,176,3.0,2.0,5,Family,No,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,235204,16800250
8,P03377,Chrompet,771,175,1.0,1.0,2,AdjLand,No,Others,NoSewr ,Paved,RM,2.9,3.7,4.0,3.55,33236,8308970
9,P09623,Velachery,1635,74,2.0,1.0,4,AbNormal,No,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,121255,8083650
10,P09540,Chrompet,1203,78,2.0,1.0,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,4.0,3.2,4.5,3.83,119504,14938000
11,P07121,Chrompet,1054,143,1.0,1.0,3,Partial,No,Others,NoSewr ,Gravel,RM,2.2,3.1,3.3,2.89,141746,9449730
12,P05512,Chrompet,1196,137,1.0,1.0,3,Family,No,Others,NoSewr ,No Access,RL,2.1,2.5,2.1,2.26,35097,8774370
13,P09370,Adyar,1056,83,1.0,1.0,3,Partial,Yes,Others,NoSewr ,Paved,RH,2.2,3.4,3.7,3.19,37546,9386490
14,P04085,Velachery,1865,157,3.0,2.0,5,Family,No,Commercial,NoSewr ,Paved,RM,4.8,2.2,4.9,3.66,294494,15499680
15,P06328,Velachery,1868,148,3.0,2.0,5,Family,No,Commercial,NoSewr ,Gravel,RH,3.8,3.8,3.1,3.5666666666666664,188569,15714080
16,P06039,Karapakkam,1639,175,2.0,2.0,4,Normal Sale,Yes,House,ELO,Gravel,I,2.3,3.2,4.8,3.57,77904,8656000
17,P02016,Chrompet,796,134,1.0,1.0,2,AdjLand,Yes,Commercial,AllPub,No Access,RL,3.5,4.6,4.7,4.3,130951,10912550
18,P08160,Adyar,1136,69,1.0,1.0,3,Normal Sale,Yes,Others,AllPub,Paved,A,4.6,2.6,2.9,3.35,49725,8287550
19,P01372,Anna Nagar,1902,168,2.0,1.0,5,Family,Yes,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,212032,21203240
20,P00936,Chrompet,1069,53,1.0,1.0,3,AbNormal,Yes,Others,NoSewr ,Paved,RM,2.8,2.7,4.9,3.39,43622,10905530
21,P07346,Chrompet,931,96,1.0,1.0,3,AbNormal,Yes,Others,ELO,Paved,RL,4.2,3.1,3.1,3.43,27558,9185970
22,P06851,KK Nagar,2010,114,3.0,2.0,5,Partial,No,Others,NoSewr ,Gravel,RH,3.4,4.5,3.4,3.73,262210,10925400
23,P04665,Chrompet,1074,100,1.0,1.0,3,AbNormal,No,Others,NoSewr ,Gravel,RL,3.0,3.4,4.9,3.73,86646,9627380
24,P00902,T Nagar,1972,111,2.0,1.0,5,AdjLand,No,Others,NoSewr ,No Access,RH,4.1,4.4,2.8,3.59,167073,13922760
25,P00293,T Nagar,1685,105,1.0,1.0,4,Family,No,House,NoSewr ,Gravel,RM,2.8,4.4,4.0,3.74,176415,12601080
26,P02235,Adyar,1130,29,1.0,1.0,3,Family,Yes,Commercial,ELO,Paved,RH,2.3,2.5,2.2,2.29,53533,13383350
27,P04080,Karapakkam,1301,59,1.0,1.0,3,Normal Sale,Yes,Others,NoSewr ,Gravel,C,2.8,2.7,3.8,3.17,71457,7939625
28,P02677,Adyar,730,185,1.0,1.0,2,AdjLand,Yes,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,53090,8848285
29,P00755,T Nagar,1806,138,2.0,1.0,5,Family,No,House,NoSeWa,Paved,RH,4.1,5.0,3.0,3.83,113382,11338200
30,P06980,Anna Nagar,1981,173,2.0,1.0,5,AdjLand,No,House,ELO,No Access,RL,2.0,3.1,3.2,2.755,218831,12872430
31,P02696,Adyar,868,15,1.0,1.0,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,2.3,2.1,2.0,2.11,72336,9042050
32,P01517,T Nagar,1721,117,1.0,1.0,4,AdjLand,Yes,Others,ELO,Paved,RM,2.0,2.8,2.9,2.605,223116,14874380
33,P09650,Velachery,1755,16,2.0,1.0,4,AdjLand,Yes,Others,AllPub,Gravel,A,4.8,4.5,4.5,4.58,173780,10222380
34,P05950,Anna Nagar,1709,130,1.0,1.0,4,Family,No,Others,NoSeWa,Gravel,RH,4.8,3.2,4.3,4.2,90500,12928590
35,P05051,KK Nagar,2114,46,3.0,2.0,5,AdjLand,Yes,Commercial,NoSeWa,Gravel,RH,2.7,3.0,3.9,3.27,281037,17564820
36,P04978,Karapakkam,1226,180,1.0,1.0,3,Normal Sale,No,House,AllPub,Paved,A,4.0,3.7,4.7,4.19,114339,4971250
37,P03704,Velachery,1648,111,2.0,1.0,4,Family,Yes,Others,NoSeWa,Paved,C,4.3,2.9,2.0,2.98,82536,9170660
38,P02247,Chrompet,856,36,1.0,1.0,3,AdjLand,Yes,Others,NoSewr ,Gravel,RM,2.1,3.6,3.5,3.12,103834,10383420
39,P07194,Adyar,904,52,1.0,1.0,3,AdjLand,No,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,23203,11601400
40,P01107,Chrompet,1198,105,1.0,1.0,3,Normal Sale,No,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,98991,8249260
